tweet_id,p1,p1_dog,p2,p2_dog,p3,p3_dog,retweet_count,favorite_count,timestamp,rating_numerator,rating_denominator,name,device_type,stages
666020888022790149,welsh_springer_spaniel,True,collie,True,shetland_sheepdog,True,532,2535,2015-11-15 22:32:08+00:00,8.0,10,None,twitter for iphone,
666029285002620928,redbone,True,miniature_pinscher,True,rhodesian_ridgeback,True,48,132,2015-11-15 23:05:30+00:00,7.0,10,None,twitter for iphone,
666033412701032449,german_shepherd,True,malinois,True,bloodhound,True,47,128,2015-11-15 23:21:54+00:00,9.0,10,None,twitter for iphone,
666044226329800704,rhodesian_ridgeback,True,redbone,True,miniature_pinscher,True,147,311,2015-11-16 00:04:52+00:00,6.0,10,None,twitter for iphone,
666049248165822465,miniature_pinscher,True,rottweiler,True,doberman,True,41,111,2015-11-16 00:24:50+00:00,5.0,10,None,twitter for iphone,
666050758794694657,bernese_mountain_dog,True,english_springer,True,greater_swiss_mountain_dog,True,60,136,2015-11-16 00:30:50+00:00,10.0,10,None,twitter for iphone,
666051853826850816,box_turtle,False,mud_turtle,False,terrapin,False,879,1253,2015-11-16 00:35:11+00:00,2.0,10,None,twitter for iphone,
666055525042405380,chow,True,tibetan_mastiff,True,fur_coat,False,261,448,2015-11-16 00:49:46+00:00,10.0,10,None,twitter for iphone,
666057090499244032,shopping_cart,False,shopping_basket,False,golden_retriever,True,146,304,2015-11-16 00:55:59+00:00,9.0,10,None,twitter for iphone,
666058600524156928,miniature_poodle,True,komondor,True,soft-coated_wheaten_terrier,True,61,115,2015-11-16 01:01:59+00:00,8.0,10,None,twitter for iphone,
666063827256086533,golden_retriever,True,tibetan_mastiff,True,labrador_retriever,True,232,496,2015-11-16 01:22:45+00:00,10.0,10,None,twitter for iphone,
666071193221509120,gordon_setter,True,yorkshire_terrier,True,pekinese,True,67,154,2015-11-16 01:52:02+00:00,9.0,10,None,twitter for iphone,
666073100786774016,walker_hound,True,english_foxhound,True,ibizan_hound,True,174,335,2015-11-16 01:59:36+00:00,10.0,10,None,twitter for iphone,
666082916733198337,pug,True,bull_mastiff,True,french_bulldog,True,47,121,2015-11-16 02:38:37+00:00,6.0,10,None,twitter for iphone,
666094000022159362,bloodhound,True,german_shepherd,True,malinois,True,79,169,2015-11-16 03:22:39+00:00,9.0,10,None,twitter for iphone,
666099513787052032,lhasa,True,shih-tzu,True,dandie_dinmont,True,73,164,2015-11-16 03:44:34+00:00,8.0,10,None,twitter for iphone,
666102155909144576,english_setter,True,newfoundland,True,borzoi,True,16,81,2015-11-16 03:55:04+00:00,11.0,10,None,twitter for iphone,
666104133288665088,hen,False,cock,False,partridge,False,6871,14765,2015-11-16 04:02:55+00:00,1.0,10,None,twitter for iphone,
666268910803644416,desktop_computer,False,desk,False,bookcase,False,37,108,2015-11-16 14:57:41+00:00,10.0,10,None,twitter for iphone,
666273097616637952,italian_greyhound,True,toy_terrier,True,basenji,True,82,184,2015-11-16 15:14:19+00:00,11.0,10,None,twitter for iphone,
666287406224695296,maltese_dog,True,toy_poodle,True,miniature_poodle,True,71,152,2015-11-16 16:11:11+00:00,9.0,10,None,twitter for iphone,
666293911632134144,three-toed_sloth,False,otter,False,great_grey_owl,False,368,522,2015-11-16 16:37:02+00:00,3.0,10,None,twitter for iphone,
666337882303524864,ox,False,newfoundland,True,groenendael,True,96,204,2015-11-16 19:31:45+00:00,9.0,10,None,twitter for iphone,
666345417576210432,golden_retriever,True,chesapeake_bay_retriever,True,labrador_retriever,True,146,307,2015-11-16 20:01:42+00:00,10.0,10,None,twitter for iphone,
666353288456101888,malamute,True,siberian_husky,True,eskimo_dog,True,77,229,2015-11-16 20:32:58+00:00,8.0,10,None,twitter for iphone,
666362758909284353,guinea_pig,False,skunk,False,hamster,False,595,804,2015-11-16 21:10:36+00:00,6.0,10,None,twitter for iphone,
666373753744588802,soft-coated_wheaten_terrier,True,afghan_hound,True,briard,True,100,194,2015-11-16 21:54:18+00:00,11.0,10,None,twitter for iphone,
666396247373291520,chihuahua,True,toy_terrier,True,papillon,True,92,172,2015-11-16 23:23:41+00:00,9.0,10,None,twitter for iphone,
666407126856765440,black-and-tan_coonhound,True,bloodhound,True,flat-coated_retriever,True,44,113,2015-11-17 00:06:54+00:00,7.0,10,None,twitter for iphone,
666411507551481857,coho,False,barracouta,False,gar,False,339,459,2015-11-17 00:24:19+00:00,2.0,10,None,twitter for iphone,
666418789513326592,toy_terrier,True,papillon,True,chihuahua,True,48,129,2015-11-17 00:53:15+00:00,10.0,10,Walter,twitter for iphone,
666421158376562688,blenheim_spaniel,True,cocker_spaniel,True,shih-tzu,True,118,327,2015-11-17 01:02:40+00:00,12.0,10,None,twitter for iphone,
666428276349472768,pembroke,True,chow,True,pomeranian,True,90,171,2015-11-17 01:30:57+00:00,7.0,10,None,twitter for iphone,
666430724426358785,llama,False,irish_terrier,True,dingo,False,204,330,2015-11-17 01:40:41+00:00,6.0,10,None,twitter for iphone,
666435652385423360,chesapeake_bay_retriever,True,chain_saw,False,power_drill,False,54,170,2015-11-17 02:00:15+00:00,10.0,10,None,twitter for iphone,
666437273139982337,chihuahua,True,beagle,True,saluki,True,52,131,2015-11-17 02:06:42+00:00,7.0,10,None,twitter for iphone,
666447344410484738,curly-coated_retriever,True,giant_schnauzer,True,labrador_retriever,True,23,107,2015-11-17 02:46:43+00:00,9.0,10,Scout,twitter for iphone,
666454714377183233,dalmatian,True,labrador_retriever,True,great_pyrenees,True,223,545,2015-11-17 03:16:00+00:00,10.0,10,Kreggory,twitter for iphone,
666644823164719104,ibizan_hound,True,pembroke,True,west_highland_white_terrier,True,88,238,2015-11-17 15:51:26+00:00,9.0,10,Jimothy,twitter for iphone,
666649482315059201,border_collie,True,english_springer,True,collie,True,608,923,2015-11-17 16:09:56+00:00,4.0,10,None,twitter for iphone,
666691418707132416,german_shepherd,True,beagle,True,bloodhound,True,51,196,2015-11-17 18:56:35+00:00,8.0,10,Christoper,twitter for iphone,
666701168228331520,labrador_retriever,True,chihuahua,True,french_bulldog,True,234,449,2015-11-17 19:35:19+00:00,8.0,10,None,twitter for iphone,
666739327293083650,miniature_poodle,True,cocker_spaniel,True,toy_poodle,True,71,244,2015-11-17 22:06:57+00:00,10.0,10,Lugan,twitter for iphone,
666776908487630848,seat_belt,False,miniature_pinscher,True,chihuahua,True,186,368,2015-11-18 00:36:17+00:00,5.0,10,Josep,twitter for iphone,
666781792255496192,italian_greyhound,True,weimaraner,True,vizsla,True,211,404,2015-11-18 00:55:42+00:00,10.0,10,None,twitter for iphone,
666786068205871104,snail,False,slug,False,acorn,False,521,800,2015-11-18 01:12:41+00:00,2.0,10,None,twitter for iphone,
666804364988780544,english_setter,True,brittany_spaniel,True,ibizan_hound,True,95,250,2015-11-18 02:25:23+00:00,8.0,10,Jockson,twitter for iphone,
666817836334096384,miniature_schnauzer,True,standard_schnauzer,True,giant_schnauzer,True,267,540,2015-11-18 03:18:55+00:00,9.0,10,Jeph,twitter for iphone,
666826780179869698,maltese_dog,True,teddy,False,west_highland_white_terrier,True,105,266,2015-11-18 03:54:28+00:00,12.0,10,None,twitter for iphone,
666835007768551424,airedale,True,toy_poodle,True,teddy,False,83,222,2015-11-18 04:27:09+00:00,10.0,10,None,twitter for iphone,
666837028449972224,triceratops,False,armadillo,False,common_iguana,False,584,857,2015-11-18 04:35:11+00:00,3.0,10,None,twitter for iphone,
666983947667116034,swab,False,chain_saw,False,wig,False,1040,2679,2015-11-18 14:18:59+00:00,11.0,10,None,twitter for iphone,
666996132027977728,hay,False,rottweiler,True,water_buffalo,False,102,258,2015-11-18 15:07:24+00:00,10.0,10,Carll,twitter for iphone,
667012601033924608,hyena,False,african_hunting_dog,False,coyote,False,237,471,2015-11-18 16:12:51+00:00,9.0,10,Klevin,twitter for iphone,
667044094246576128,golden_retriever,True,labrador_retriever,True,seat_belt,False,54,198,2015-11-18 18:17:59+00:00,12.0,10,None,twitter for iphone,
667062181243039745,chesapeake_bay_retriever,True,vizsla,True,kelpie,True,57,227,2015-11-18 19:29:52+00:00,10.0,10,Keet,twitter for iphone,
667065535570550784,jigsaw_puzzle,False,doormat,False,space_heater,False,51,175,2015-11-18 19:43:11+00:00,8.0,10,None,twitter for iphone,
667073648344346624,chihuahua,True,pug,True,brabancon_griffon,True,134,425,2015-11-18 20:15:26+00:00,10.0,10,Dave,twitter for iphone,
667090893657276420,chihuahua,True,italian_greyhound,True,pomeranian,True,132,349,2015-11-18 21:23:57+00:00,7.0,10,Clybe,twitter for iphone,
667119796878725120,pembroke,True,chihuahua,True,toy_poodle,True,135,346,2015-11-18 23:18:48+00:00,10.0,10,Gabe,twitter for iphone,
667138269671505920,west_highland_white_terrier,True,samoyed,True,toy_poodle,True,2387,4851,2015-11-19 00:32:12+00:00,10.0,10,None,twitter for iphone,
667152164079423490,toy_poodle,True,pomeranian,True,miniature_poodle,True,18285,49720,2015-11-19 01:27:25+00:00,12.0,10,Pipsy,twitter for iphone,
667160273090932737,golden_retriever,True,miniature_poodle,True,standard_poodle,True,66,268,2015-11-19 01:59:39+00:00,11.0,10,Bradlay,twitter for iphone,
667165590075940865,miniature_pinscher,True,rottweiler,True,beagle,True,1241,2819,2015-11-19 02:20:46+00:00,10.0,10,Churlie,twitter for iphone,
667171260800061440,giant_schnauzer,True,lakeland_terrier,True,irish_water_spaniel,True,97,235,2015-11-19 02:43:18+00:00,10.0,10,Kenneth,twitter for iphone,
667174963120574464,toy_poodle,True,chihuahua,True,bluetick,True,88,262,2015-11-19 02:58:01+00:00,9.0,10,Clarence,twitter for iphone,
667176164155375616,soft-coated_wheaten_terrier,True,lakeland_terrier,True,toy_poodle,True,484,640,2015-11-19 03:02:47+00:00,4.0,10,None,twitter for iphone,
667177989038297088,vizsla,True,chesapeake_bay_retriever,True,weimaraner,True,58,200,2015-11-19 03:10:02+00:00,8.0,10,None,twitter for iphone,
667182792070062081,golden_retriever,True,irish_setter,True,chesapeake_bay_retriever,True,6618,15075,2015-11-19 03:29:07+00:00,10.0,10,Timison,twitter for iphone,
667188689915760640,vacuum,False,swab,False,toilet_tissue,False,449,784,2015-11-19 03:52:34+00:00,10.0,10,None,twitter for iphone,
667192066997374976,rottweiler,True,miniature_pinscher,True,black-and-tan_coonhound,True,115,414,2015-11-19 04:05:59+00:00,12.0,10,None,twitter for iphone,
667200525029539841,siberian_husky,True,malamute,True,eskimo_dog,True,282,658,2015-11-19 04:39:35+00:00,11.0,10,Joshwa,twitter for iphone,
667211855547486208,golden_retriever,True,labrador_retriever,True,kuvasz,True,258,516,2015-11-19 05:24:37+00:00,9.0,10,Genevieve,twitter for iphone,
667369227918143488,teddy,False,bath_towel,False,christmas_stocking,False,173,385,2015-11-19 15:49:57+00:00,10.0,10,None,twitter for iphone,
667393430834667520,papillon,True,border_collie,True,collie,True,60,211,2015-11-19 17:26:08+00:00,8.0,10,Fwed,twitter for iphone,
667405339315146752,saint_bernard,True,leonberg,True,golden_retriever,True,234,489,2015-11-19 18:13:27+00:00,7.0,10,Biden,twitter for iphone,
667435689202614272,rottweiler,True,miniature_pinscher,True,black-and-tan_coonhound,True,89,326,2015-11-19 20:14:03+00:00,12.0,10,None,twitter for iphone,
667437278097252352,porcupine,False,bath_towel,False,badger,False,257,483,2015-11-19 20:20:22+00:00,10.0,10,None,twitter for iphone,
667443425659232256,goose,False,drake,False,hen,False,620,833,2015-11-19 20:44:47+00:00,6.0,10,None,twitter for iphone,
667453023279554560,labrador_retriever,True,french_bulldog,True,staffordshire_bullterrier,True,96,327,2015-11-19 21:22:56+00:00,11.0,10,Cupcake,twitter web client,
667455448082227200,tibetan_terrier,True,irish_terrier,True,yorkshire_terrier,True,66,203,2015-11-19 21:32:34+00:00,7.0,10,Reese,twitter web client,
667470559035432960,toy_poodle,True,pug,True,lakeland_terrier,True,102,273,2015-11-19 22:32:36+00:00,11.0,10,None,twitter web client,
667491009379606528,borzoi,True,ice_bear,False,weasel,False,242,559,2015-11-19 23:53:52+00:00,7.0,10,None,twitter web client,
667495797102141441,chihuahua,True,christmas_stocking,False,ski_mask,False,294,565,2015-11-20 00:12:54+00:00,9.0,10,Philippe,twitter web client,
667502640335572993,labrador_retriever,True,golden_retriever,True,beagle,True,231,563,2015-11-20 00:40:05+00:00,11.0,10,Hall,twitter web client,
